person,personLabel,parentLabel,linkcount
http://www.wikidata.org/entity/Q79015,Superman,Lara Lor-Van,100
http://www.wikidata.org/entity/Q162005,Paul G. Allen,Kenneth S. Allen,79
http://www.wikidata.org/entity/Q71031,Robert Bunsen,Christian Bunsen,78
http://www.wikidata.org/entity/Q76556,Richard Dedekind,Julius Dedekind,67
http://www.wikidata.org/entity/Q151872,Amos Oz,Yehuda Arieh Klausner,63
http://www.wikidata.org/entity/Q272912,Eugène Viollet-le-Duc,Emmanuel Louis Nicolas Viollet-le-Duc,57
http://www.wikidata.org/entity/Q203229,François-André Danican Philidor,André Danican Philidor,53
http://www.wikidata.org/entity/Q203514,Heitor Villa-Lobos,Raul Villa-Lobos,51
http://www.wikidata.org/entity/Q57164,Friedrich Georg Wilhelm von Struve,Jacob Struve,48
http://www.wikidata.org/entity/Q287752,Charlotte Perkins Gilman,Frederic Beecher Perkins,47
http://www.wikidata.org/entity/Q129228,René Girard,Joseph Girard,45
http://www.wikidata.org/entity/Q272774,John Hancock,"John Hancock, Jr.",44
http://www.wikidata.org/entity/Q309977,Tim Hunt,Richard William Hunt,44
http://www.wikidata.org/entity/Q576,Jorge Alessandri,Arturo Alessandri,36
http://www.wikidata.org/entity/Q470557,Jean Paulhan,Frédéric Paulhan,33
http://www.wikidata.org/entity/Q514741,Gaston Paris,Alexis Paulin Paris,32
http://www.wikidata.org/entity/Q347871,Sigismond Thalberg,Moritz Joseph Johann von Dietrichstein,31
http://www.wikidata.org/entity/Q60866,Hinrich Lichtenstein,Anton August Heinrich Lichtenstein,30
http://www.wikidata.org/entity/Q231832,Anne Marie Louise d'Orléans,"Marie de Bourbon, Duchess of Montpensier",30
http://www.wikidata.org/entity/Q467611,Benjamin Peirce,Benjamin Peirce,30
http://www.wikidata.org/entity/Q368732,Eliyahu M. Goldratt,Avraham-Yehuda Goldrat,26
http://www.wikidata.org/entity/Q453449,Liu Xin,Liu Xiang,25
http://www.wikidata.org/entity/Q937063,Michael H. Hart,Caroline Horowitz,25
http://www.wikidata.org/entity/Q723585,Ludovic Halévy,Léon Halévy,24
http://www.wikidata.org/entity/Q299334,Viivi Luik,Hilda Luik,24
http://www.wikidata.org/entity/Q700638,Eugène Burnouf,Jean-Louis Burnouf,23
http://www.wikidata.org/entity/Q238890,Kathleen Kenyon,Frederic G. Kenyon,22
http://www.wikidata.org/entity/Q560792,Allan Ramsay,Allan Ramsay,22
http://www.wikidata.org/entity/Q61213,"Anthony Ulrich, Duke of Brunswick-Wolfenbüttel","Augustus the Younger, Duke of Brunswick-Lüneburg",21
http://www.wikidata.org/entity/Q65292,Herman Grimm,Wilhelm Grimm,21
http://www.wikidata.org/entity/Q525792,István Bibó,István Bibó,21
http://www.wikidata.org/entity/Q65860,Rudolf Wagner,Lorenz Heinrich Wagner,21
http://www.wikidata.org/entity/Q63760,Andreas Franz Wilhelm Schimper,Wilhelm Philippe Schimper,20
http://www.wikidata.org/entity/Q482807,Mao Anying,Mao Zedong,20
http://www.wikidata.org/entity/Q697249,"Ferdinand Albert I, Duke of Brunswick-Lüneburg","Augustus the Younger, Duke of Brunswick-Lüneburg",20
http://www.wikidata.org/entity/Q153481,Jenna Bush Hager,Laura Bush,20
http://www.wikidata.org/entity/Q68757,Moritz Wagner,Lorenz Heinrich Wagner,20
http://www.wikidata.org/entity/Q4317038,Zhanna Nemtsova,Raisa Nemtsova,20
http://www.wikidata.org/entity/Q257279,William Crawford Gorgas,Amelia Gayle Gorgas,19
http://www.wikidata.org/entity/Q2602354,Adam Papée,Fryderyk Papée,18
http://www.wikidata.org/entity/Q704860,David Garnett,Constance Garnett,18
http://www.wikidata.org/entity/Q65655,"Rudolph Augustus, Duke of Brunswick-Lüneburg","Augustus the Younger, Duke of Brunswick-Lüneburg",16
http://www.wikidata.org/entity/Q1347918,François Lenormant,Charles Lenormant,16
http://www.wikidata.org/entity/Q1450796,François Victor Alphonse Aulard,Alphonse Aulard,16
http://www.wikidata.org/entity/Q153730,Barbara Bush,Laura Bush,15
http://www.wikidata.org/entity/Q2628443,Charles Eliot Norton,Andrews Norton,15
http://www.wikidata.org/entity/Q19667575,Marie Elisabeth of Brunswick-Wolfenbüttel,"Augustus the Younger, Duke of Brunswick-Lüneburg",14
http://www.wikidata.org/entity/Q77047,Johannes Lepsius,Karl Richard Lepsius,14
http://www.wikidata.org/entity/Q3292905,Marie de Régnier,José-Maria de Heredia,14
http://www.wikidata.org/entity/Q1242983,Thorvald N. Thiele,Just Mathias Thiele,14
http://www.wikidata.org/entity/Q6306998,Julian Bond,Julia Agnes Washington Bond,14
http://www.wikidata.org/entity/Q86167,Therese Huber,Christian Gottlob Heyne,13
http://www.wikidata.org/entity/Q291033,Jean-Philippe Lauer,Philippe Lauer,13
http://www.wikidata.org/entity/Q657515,Hendrik Brugmans,Hajo Brugmans,13
http://www.wikidata.org/entity/Q334302,Airey Neave,Sheffield Airey Neave,13
http://www.wikidata.org/entity/Q922671,Pavel Alexandrovich Stroganov,Alexander Sergeyevich Stroganov,13
http://www.wikidata.org/entity/Q642604,Jakob Gronovius,Johann Friedrich Gronovius,12
http://www.wikidata.org/entity/Q69707,Karoline Jagemann,Christian Joseph Jagemann,12
http://www.wikidata.org/entity/Q666785,Jonas Lie,Erik Lie,12
http://www.wikidata.org/entity/Q510116,Nicolaas Heinsius the Elder,Daniel Heinsius,12
http://www.wikidata.org/entity/Q2566641,Pierre Bovet,Félix Bovet,12
http://www.wikidata.org/entity/Q958294,Lucien-Anatole Prévost-Paradol,Léon Halévy,11
http://www.wikidata.org/entity/Q445766,Tadeusz Estreicher,Karol Estreicher,11
http://www.wikidata.org/entity/Q4301671,Eleanor Mondale,Joan Mondale,11
http://www.wikidata.org/entity/Q1341617,Henry Woodward,Samuel Woodward,11
http://www.wikidata.org/entity/Q3427562,Mia Lyhne,Mogens Lyhne,11
http://www.wikidata.org/entity/Q4164381,Mladen Dolar,Jaro Dolar,11
http://www.wikidata.org/entity/Q1364400,Gustaf Munch-Petersen,Valfrid Palmgren,11
http://www.wikidata.org/entity/Q2839658,Alpheus Spring Packard,"Alpheus Spring Packard, Sr.",11
http://www.wikidata.org/entity/Q433564,Eva Kantůrková,Bohumila Sílová,11
http://www.wikidata.org/entity/Q1395941,Jean-Jacques Waltz,André Waltz,11
http://www.wikidata.org/entity/Q707760,Li Na,Mao Zedong,10
http://www.wikidata.org/entity/Q922651,Mao Anqing,Mao Zedong,10
http://www.wikidata.org/entity/Q318738,Reinhold Lepsius,Karl Richard Lepsius,10
http://www.wikidata.org/entity/Q2704730,"Edward Law, 1st Baron Ellenborough",Edmund Law,10
http://www.wikidata.org/entity/Q67533,Karl Wilhelm Dindorf,Gottlieb Immanuel Dindorf,10
http://www.wikidata.org/entity/Q555485,Stephan Krehl,Christoph Krehl,10
http://www.wikidata.org/entity/Q718512,Richard Garnett,Richard Garnett,10
http://www.wikidata.org/entity/Q351257,Carl Christoffer Gjörwell the Younger,Carl Christoffer Gjörwell Sr.,10
http://www.wikidata.org/entity/Q1445681,M. Caldwell Butler,Sarah Poage Caldwell Butler,10
http://www.wikidata.org/entity/Q573338,Anthony Hickox,Anne V. Coates,9
http://www.wikidata.org/entity/Q9348705,Sibylle Ursula of Brunswick-Wolfenbüttel,"Augustus the Younger, Duke of Brunswick-Lüneburg",9
http://www.wikidata.org/entity/Q18527799,Dorothea Pertz,Georg Heinrich Pertz,9
http://www.wikidata.org/entity/Q895504,Ferdinand Jagemann,Christian Joseph Jagemann,9
http://www.wikidata.org/entity/Q322499,Stanisław Estreicher,Karol Estreicher,9
http://www.wikidata.org/entity/Q718857,Geoffrey Owens,Major Owens,9
http://www.wikidata.org/entity/Q15064105,Ecaterina Arbore-Ralli,Zamfir Arbore,9
http://www.wikidata.org/entity/Q15402320,Nina Arbore,Zamfir Arbore,9
http://www.wikidata.org/entity/Q2281130,Clemente Palma,Ricardo Palma,9
http://www.wikidata.org/entity/Q2341424,Ustazade Silvestre de Sacy,Antoine Isaac Silvestre de Sacy,9
http://www.wikidata.org/entity/Q4764318,Angélica Palma,Ricardo Palma,9
http://www.wikidata.org/entity/Q68093,Ludolf von Krehl,Christoph Krehl,9
http://www.wikidata.org/entity/Q3262847,Louis-Pasteur Vallery-Radot,René Vallery-Radot,9
http://www.wikidata.org/entity/Q4209561,Heikki Holmås,Stig Holmås,9
http://www.wikidata.org/entity/Q6381155,Kazimierz Bartoszewicz,Julian Bartoszewicz,9
http://www.wikidata.org/entity/Q774772,Clark Kent,Lara Lor-Van,9
http://www.wikidata.org/entity/Q1338236,Xavier Miserachs,Montserrat Ribalta i Escoda,9
http://www.wikidata.org/entity/Q216362,August von Goethe,Johann Wolfgang von Goethe,8
http://www.wikidata.org/entity/Q3267042,Li Min,Mao Zedong,8
http://www.wikidata.org/entity/Q73975,Hans Blum,Robert Blum,8
http://www.wikidata.org/entity/Q265834,Anne Danican Philidor,André Danican Philidor,8
http://www.wikidata.org/entity/Q1651229,Edward Garnett,Richard Garnett,8
http://www.wikidata.org/entity/Q89645,Johann Jacob Paul Moldenhawer,Johann Heinrich Daniel Moldenhawer,8
http://www.wikidata.org/entity/Q3197069,Kinga Dunin,Janusz Dunin,8
http://www.wikidata.org/entity/Q6098027,Johan Frederik Vilhelm Schlegel,Johann Heinrich Schlegel,8
http://www.wikidata.org/entity/Q2723204,Superboy-Prime,Lara Lor-Van,8
http://www.wikidata.org/entity/Q3170484,Jean Babelon,Ernest Babelon,8
http://www.wikidata.org/entity/Q941189,Mikel Irujo Amezaga,Arantzazu Amezaga Iribarren,8
http://www.wikidata.org/entity/Q1748974,Paul Schuster Taylor,Rose Schuster Taylor,8
http://www.wikidata.org/entity/Q113706,Fritz Schöll,Adolf Schöll,7
http://www.wikidata.org/entity/Q2059434,Paul Emil Jacobs,Christian Friedrich Wilhelm Jacobs,7
http://www.wikidata.org/entity/Q6042284,Alexandru A. Philippide,Alexandru Philippide,7
http://www.wikidata.org/entity/Q17003404,Jean François Gail,Jean-Baptiste Gail,7
http://www.wikidata.org/entity/Q4820726,August Matthiae,Georg Matthiae,7
http://www.wikidata.org/entity/Q273240,Belle da Costa Greene,Richard Theodore Greener,7
http://www.wikidata.org/entity/Q2218764,Samuel P. Woodward,Samuel Woodward,7
http://www.wikidata.org/entity/Q3101441,George Brett,William Howard Brett,7
http://www.wikidata.org/entity/Q441688,Nicola LeFanu,William LeFanu,7
http://www.wikidata.org/entity/Q1248001,Joseph Planta,Andrew Planta,7
http://www.wikidata.org/entity/Q3719926,Edward Augustus Holyoke,Edward Holyoke,7
http://www.wikidata.org/entity/Q1338449,Emmanuel des Essarts,Alfred Des Essarts,7
http://www.wikidata.org/entity/Q320827,I. E. S. Edwards,Edward Edwards,7
http://www.wikidata.org/entity/Q355738,Alejandro Planchart,Enrique Planchart Loynaz,7
http://www.wikidata.org/entity/Q2331842,Stanley Wojcicki,Janina Wójcicka Hoskins,7
http://www.wikidata.org/entity/Q17480899,Antoni,Josefa Callao Mínguez,7
http://www.wikidata.org/entity/Q4020008,William Franklin,Benjamin Franklin,6
http://www.wikidata.org/entity/Q5444579,Fernando Alessandri,Arturo Alessandri,6
http://www.wikidata.org/entity/Q15507802,Wilhelm Henke,Ernst Ludwig Theodor Henke,6
